datetime,temperature
1989-09-30,12.43867924528302
1989-10-31,9.122446236559135
1989-11-30,6.014213197969518
1989-12-31,
1990-01-31,
1990-02-28,
1990-03-31,
1990-04-30,-0.8115384615384613
1990-05-31,0.6580645161290327
1990-06-30,2.1599305555555555
1990-07-31,9.224663978494629
1990-08-31,14.790927419354848
1990-09-30,15.096796657381702
1990-10-31,10.952419354838703
1990-11-30,4.887065368567437
1990-12-31,1.5543010752688176
1991-01-31,-1.445833333333334
1991-02-28,-0.709672619047617
1991-03-31,-1.1239247311827893
1991-04-30,-1.4059722222222175
1991-05-31,-0.3588948787061994
1991-06-30,-0.3948611111111111
1991-07-31,0.9130376344086027
1991-08-31,8.01219676549864
1991-09-30,11.214583333333342
1991-10-31,8.848252688172037
1991-11-30,4.915994436717647
1991-12-31,1.0143817204301038
1992-01-31,-1.0077956989247314
1992-02-29,-0.989008620689656
1992-03-31,-1.1374999999999986
1992-04-30,-1.2279166666666643
1992-05-31,1.959638554216868
1992-06-30,3.8408333333333364
1992-07-31,5.772446236559138
1992-08-31,10.795808383233542
1992-09-30,11.113611111111105
1992-10-31,8.646370967741948
1992-11-30,4.074130737134902
1992-12-31,0.802688172043009
1993-01-31,-0.825739247311826
1993-02-28,-0.7190476190476198
1993-03-31,-1.1071908602150575
1993-04-30,-1.1401388888888866
1993-05-31,-0.4010094212651418
1993-06-30,2.650486111111109
1993-07-31,5.800336021505382
1993-08-31,5.117092866756388
1993-09-30,10.638888888888903
1993-10-31,8.627822580645134
1993-11-30,4.441180555555558
1993-12-31,1.320188425302826
1994-01-31,-1.3354838709677412
1994-02-28,-1.5493303571428565
1994-03-31,-1.5017473118279498
1994-04-30,-1.430416666666663
1994-05-31,0.7334682860998647
1994-06-30,4.031874999999998
1994-07-31,9.207930107526877
1994-08-31,13.684118116520349
1994-09-30,11.792499999999999
1994-10-31,8.758534946236555
1994-11-30,5.731651718983561
1994-12-31,1.5917449664429502
1995-01-31,-0.8374327956989249
1995-02-28,-1.0982142857142845
1995-03-31,-0.7151881720430102
1995-04-30,-1.052013888888887
1995-05-31,-1.3882392473118241
1995-06-30,0.7978917779339412
1995-07-31,5.833030913978494
1995-08-31,9.330846774193553
1995-09-30,10.946369636963679
1995-10-31,8.14751344086021
1995-11-30,5.072638888888879
1995-12-31,1.1020161290322594
1996-01-31,-0.612500000000001
1996-02-29,-0.3915229885057492
1996-03-31,-0.6486559139784922
1996-04-30,0.2948611111111112
1996-05-31,3.8881720430107474
1996-06-30,6.402638888888889
1996-07-31,9.777419354838718
1996-08-31,12.829569892473124
1996-09-30,13.047045624532608
1996-10-31,8.469825268817273
1996-11-30,4.558394698085417
1996-12-31,2.0771505376344037
1997-01-31,-0.7225134408602154
1997-02-28,-1.3595238095238078
1997-03-31,-0.8918682795698925
1997-04-30,-1.0209027777777757
1997-05-31,0.21971736204576017
1997-06-30,2.0582638888888933
1997-07-31,5.046774193548386
1997-08-31,12.132795698924728
1997-09-30,11.230180806675936
1997-10-31,8.03366935483871
1997-11-30,4.833646322378712
1997-12-31,
1998-01-31,
1998-02-28,
1998-03-31,
1998-04-30,
1998-05-31,3.1729779411764696
1998-06-30,4.192430555555554
1998-07-31,6.453763440860209
1998-08-31,14.046975806451595
1998-09-30,11.351529902642556
1998-10-31,8.366935483870977
1998-11-30,4.943602225312922
1998-12-31,1.327553763440856
1999-01-31,-0.9217741935483883
1999-02-28,-1.3611607142857143
1999-03-31,-0.710887096774192
1999-04-30,0.3522222222222222
1999-05-31,2.366124661246612
1999-06-30,7.480277777777767
1999-07-31,12.18454301075268
1999-08-31,12.591049798115739
1999-09-30,12.994652777777763
1999-10-31,9.114583333333321
1999-11-30,4.332819074333806
1999-12-31,1.7071236559139775
2000-01-31,-0.9487231182795695
2000-02-29,-1.4402298850574728
2000-03-31,-1.1987903225806449
2000-04-30,0.6473611111111112
2000-05-31,2.4698126801152767
2000-06-30,6.218541666666667
2000-07-31,10.985080645161274
2000-08-31,13.413844086021493
2000-09-30,14.254068627451
2000-10-31,10.159711021505377
2000-11-30,6.088125
2000-12-31,1.5946733481811521
2001-01-31,-0.6038474462365606
2001-02-28,-1.1243675595238118
2001-03-31,-0.5252276559865107
2001-04-30,-0.5820833333333424
2001-05-31,-0.5124846248462454
2001-06-30,
2001-07-31,
2001-08-31,
2001-09-30,12.970567986230632
2001-10-31,10.687466397849452
2001-11-30,5.522210451977398
2001-12-31,1.9810819892473126
2002-01-31,-0.6483198924731183
2002-02-28,-1.3106026785714266
2002-03-31,-1.0071908602150534
2002-04-30,-0.2752430555555558
2002-05-31,1.9580792682926844
2002-06-30,6.519236111111118
2002-07-31,10.213306451612915
2002-08-31,13.163172043010745
2002-09-30,13.115547445255492
2002-10-31,9.050537634408613
2002-11-30,4.149582753824759
2002-12-31,0.7200268817204277
2003-01-31,-1.0606182795698929
2003-02-28,-1.4821428571428563
2003-03-31,-1.3721774193548355
2003-04-30,-1.3376388888888877
2003-05-31,0.6639316239316236
2003-06-30,5.22708333333334
2003-07-31,9.093145161290321
2003-08-31,13.934993270524895
2003-09-30,14.113958333333356
2003-10-31,11.519892473118286
2003-11-30,7.704605263157895
2003-12-31,
2004-01-31,
2004-02-29,
2004-03-31,
2004-04-30,
2004-05-31,
2004-06-30,
2004-07-31,
2004-08-31,
2004-09-30,
2004-10-31,
2004-11-30,
2004-12-31,
2005-01-31,
2005-02-28,
2005-03-31,
2005-04-30,
2005-05-31,2.2426701570680647
2005-06-30,4.574861111111096
2005-07-31,9.323521505376354
